fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,215639.0,131376.0,84263.0,70529.0,60024.0,10505.0,1456.0,15685.0,45687.0,8.31,20484.0,106869.0,321686.0,79006.0,78927.0,3500.0,75427.0,128249.0,66231.0,12734.0,-20890.0,-45977.0
2017,229234.0,141048.0,88186.0,71501.0,61344.0,10157.0,2323.0,15738.0,48351.0,9.21,20289.0,128645.0,375319.0,100814.0,103703.0,6496.0,97207.0,134047.0,64225.0,12451.0,-17974.0,-46446.0
2018,265595.0,163756.0,101839.0,81801.0,70898.0,10903.0,3240.0,13372.0,59531.0,2.98,25913.0,131339.0,365725.0,115929.0,102519.0,8784.0,93735.0,107147.0,77434.0,13313.0,-87876.0,16066.0
2019,260174.0,161782.0,98392.0,76477.0,63930.0,12547.0,3576.0,10481.0,55256.0,2.97,48844.0,162819.0,338516.0,105718.0,102067.0,10260.0,91807.0,90488.0,69391.0,10495.0,-90976.0,45896.0
2020,274515.0,169559.0,104956.0,77344.0,66288.0,11056.0,2873.0,9680.0,57411.0,3.28,38016.0,143713.0,323888.0,105392.0,107440.0,8773.0,98667.0,65339.0,80674.0,7309.0,-86820.0,-4289.0
2021,365817.0,212981.0,152836.0,120233.0,108949.0,11284.0,2645.0,14527.0,94680.0,5.61,34940.0,134836.0,351002.0,125481.0,118719.0,9613.0,109106.0,63090.0,104038.0,11085.0,-93353.0,-14545.0
2022,394328.0,223546.0,170782.0,130541.0,119437.0,11104.0,2931.0,19300.0,99803.0,6.11,23646.0,135405.0,352755.0,153982.0,110087.0,11128.0,98959.0,50672.0,122151.0,10708.0,-110749.0,-22354.0
2023,383285.0,214137.0,169148.0,125820.0,114301.0,11519.0,3933.0,16741.0,96995.0,6.13,29965.0,143566.0,352583.0,145308.0,105103.0,9822.0,95281.0,62146.0,110543.0,10959.0,-108488.0,3705.0
2024,391035.0,210352.0,180683.0,134661.0,123216.0,11445.0,,29749.0,93736.0,6.08,29943.0,152987.0,364980.0,176392.0,96662.0,10912.0,85750.0,56950.0,118254.0,9447.0,-121983.0,2935.0
2025,416161.0,220960.0,195201.0,144748.0,133050.0,11698.0,,20719.0,112010.0,7.46,35934.0,147957.0,359241.0,165631.0,90678.0,12350.0,78328.0,73733.0,111482.0,12715.0,-120686.0,15195.0
