fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,25638.0,5832.0,19806.0,9765.0,9340.0,425.0,1047.0,1931.0,5953.0,3.63,5100.0,16187.0,66099.0,9781.0,377.0,377.0,,4636.0,7041.0,479.0,-3928.0,
2017,28216.0,7042.0,21174.0,9970.0,9545.0,425.0,1150.0,2418.0,5309.0,3.3,9303.0,21223.0,70786.0,16641.0,400.0,400.0,,5097.0,9960.0,529.0,-5512.0,-274.0
2018,32753.0,7718.0,25035.0,6854.0,6383.0,471.0,1348.0,-490.0,5687.0,3.66,7289.0,16945.0,59352.0,17239.0,3699.0,3699.0,,-8446.0,13427.0,638.0,-14396.0,-1006.0
2019,33266.0,7439.0,25827.0,13447.0,12983.0,464.0,1784.0,544.0,7882.0,5.28,39924.0,49519.0,89115.0,15585.0,67233.0,0.0,67233.0,-8172.0,13324.0,552.0,18708.0,596.0
2020,45804.0,15387.0,30417.0,12029.0,11363.0,666.0,2454.0,-1224.0,4616.0,2.72,8449.0,24173.0,150565.0,28661.0,84982.0,34.0,84948.0,13076.0,17588.0,798.0,-11501.0,-37557.0
2021,56197.0,17446.0,38751.0,18727.0,17924.0,803.0,2423.0,1440.0,11542.0,6.45,9746.0,27928.0,146529.0,35194.0,75976.0,14.0,75962.0,15408.0,22777.0,787.0,-19039.0,-2344.0
2022,58054.0,17414.0,40640.0,18895.0,18117.0,778.0,2230.0,1632.0,11836.0,6.63,9201.0,28463.0,138805.0,29538.0,63129.0,1.0,63128.0,17254.0,24943.0,695.0,-24803.0,-623.0
2023,54318.0,20415.0,33903.0,13509.0,12757.0,752.0,2224.0,1377.0,4863.0,2.72,12814.0,33002.0,134711.0,37841.0,59245.0,0.0,59245.0,10360.0,22839.0,777.0,-17222.0,-2009.0
2024,56334.0,16904.0,39430.0,9901.0,9137.0,764.0,2808.0,-570.0,4278.0,2.39,5524.0,25582.0,135161.0,38749.0,66841.0,0.0,66841.0,3325.0,18806.0,974.0,-5211.0,-20820.0
2025,61160.0,18204.0,42956.0,15837.0,15075.0,762.0,2893.0,2364.0,4226.0,2.36,5229.0,29062.0,133960.0,43289.0,67002.0,2499.0,64503.0,-3270.0,19030.0,1214.0,-12724.0,-6643.0
