fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,135987.0,88265.0,47722.0,12302.0,4186.0,484.0,1425.0,2371.0,4.9,19334.0,45781.0,83402.0,43816.0,8750.0,19285.0,17203.0,6737.0,-3716.0,-9516.0
2017,177866.0,111934.0,65932.0,15584.0,4106.0,848.0,769.0,3033.0,6.15,20522.0,60197.0,131310.0,57883.0,24843.0,27709.0,18365.0,11955.0,9928.0,-27084.0
2018,232887.0,139156.0,93731.0,27762.0,12421.0,1417.0,1197.0,10073.0,20.14,31750.0,75101.0,162648.0,68391.0,24866.0,43549.0,30723.0,13427.0,-7686.0,-12369.0
2019,280522.0,165536.0,114986.0,36330.0,14541.0,1600.0,2374.0,11588.0,23.01,36092.0,96334.0,225248.0,87812.0,24719.0,62060.0,38514.0,16861.0,-10066.0,-24281.0
2020,386064.0,233307.0,152757.0,48079.0,22899.0,1647.0,2863.0,21331.0,2.09,42122.0,132733.0,321195.0,126385.0,32971.0,93404.0,66064.0,40140.0,-1104.0,-59611.0
2021,469822.0,272344.0,197478.0,59312.0,24879.0,1809.0,4791.0,33364.0,3.24,36220.0,161580.0,420549.0,142266.0,50235.0,138245.0,46327.0,61053.0,6291.0,-58154.0
2022,513983.0,288831.0,225152.0,54169.0,12248.0,2367.0,-3217.0,-2722.0,-0.27,53888.0,146791.0,462675.0,155393.0,70149.0,146043.0,46752.0,63645.0,9718.0,-37601.0
2023,574785.0,304739.0,270046.0,85515.0,36852.0,3182.0,7120.0,30425.0,2.9,73387.0,172351.0,527854.0,164917.0,66808.0,201875.0,84946.0,52729.0,-15879.0,-49833.0
2024,637959.0,326288.0,311671.0,121388.0,68593.0,2406.0,9265.0,59248.0,5.53,78779.0,190867.0,624894.0,179431.0,57640.0,285970.0,115877.0,82999.0,-11812.0,-94342.0
2025,716924.0,356414.0,360510.0,145731.0,79975.0,2274.0,19087.0,77670.0,7.17,86810.0,229083.0,818042.0,218005.0,68396.0,411065.0,139514.0,131819.0,9661.0,-142545.0
