fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,118719.0,102901.0,15818.0,4927.0,3672.0,133.0,1243.0,2350.0,5.33,3379.0,15218.0,33163.0,15575.0,5161.0,12079.0,3292.0,2649.0,,
2017,129025.0,111882.0,17143.0,5481.0,4111.0,134.0,1325.0,2679.0,6.08,4546.0,17317.0,36347.0,17495.0,6659.0,10778.0,6726.0,2502.0,-3218.0,-2366.0
2018,141576.0,123152.0,18424.0,5917.0,4480.0,159.0,1263.0,3134.0,7.09,6055.0,20289.0,40830.0,19926.0,6577.0,12799.0,5774.0,2969.0,-1281.0,-2947.0
2019,152703.0,132886.0,16465.0,6229.0,4737.0,150.0,1061.0,3659.0,8.26,8384.0,23485.0,45400.0,23237.0,6823.0,15243.0,6356.0,2998.0,-1147.0,-2865.0
2020,166761.0,144939.0,21822.0,7080.0,5435.0,160.0,1308.0,4002.0,9.02,12277.0,28120.0,55556.0,24844.0,7609.0,18284.0,8861.0,2810.0,-1147.0,-3891.0
2021,195929.0,170684.0,25245.0,8489.0,6708.0,171.0,1601.0,5007.0,11.27,11258.0,29505.0,59268.0,29441.0,7491.0,17564.0,8958.0,3588.0,-6488.0,-3535.0
2022,226954.0,199382.0,27572.0,9693.0,7793.0,158.0,1925.0,5844.0,13.14,10203.0,32696.0,64166.0,31998.0,6557.0,20642.0,7392.0,3891.0,-4283.0,-3915.0
2023,242290.0,212586.0,29704.0,10191.0,8114.0,160.0,2195.0,6292.0,14.16,13700.0,35879.0,68994.0,33583.0,6458.0,25058.0,11068.0,4323.0,-2614.0,-4972.0
2024,254453.0,222358.0,32095.0,11522.0,9285.0,169.0,2373.0,7367.0,16.56,9906.0,34246.0,69831.0,35464.0,5897.0,23622.0,11339.0,4710.0,-10764.0,-4409.0
2025,275235.0,239886.0,35349.0,12809.0,10383.0,154.0,2719.0,8099.0,18.21,14161.0,38380.0,77099.0,37108.0,5788.0,29164.0,13335.0,5498.0,-3775.0,-5311.0
