fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,110215.0,59321.0,50894.0,17498.0,-1959.0,19457.0,201.0,-1729.0,-497.0,-0.27,6988.0,29619.0,260078.0,31785.0,41446.0,6253.0,35193.0,145556.0,12690.0,18109.0,25.0,-16370.0
2017,134674.0,75765.0,58909.0,28877.0,9528.0,19349.0,307.0,-48.0,9195.0,4.85,4813.0,28560.0,253806.0,27737.0,40197.0,6720.0,33477.0,148124.0,20338.0,13404.0,-14554.0,-8320.0
2018,158902.0,94578.0,64324.0,40742.0,21323.0,19419.0,748.0,5715.0,14824.0,7.74,9342.0,34021.0,253863.0,27171.0,28730.0,5000.0,23730.0,154554.0,30618.0,13792.0,-13699.0,-12290.0
2019,139865.0,80113.0,59752.0,35552.0,6334.0,29218.0,798.0,2691.0,2924.0,1.54,6911.0,28329.0,237428.0,26530.0,23784.0,5054.0,18730.0,144213.0,27314.0,14116.0,-19758.0,-11458.0
2020,94471.0,52148.0,42323.0,12752.0,-6756.0,19508.0,697.0,-1892.0,-5543.0,-2.96,5596.0,26078.0,239790.0,22183.0,28276.0,2600.0,25676.0,131688.0,10577.0,8922.0,-3736.0,-6965.0
2021,155606.0,92249.0,63357.0,40276.0,22351.0,17925.0,712.0,5950.0,15625.0,8.14,5640.0,33738.0,239535.0,26791.0,30622.0,4946.0,25676.0,139067.0,29187.0,8056.0,-23113.0,-5865.0
2022,235717.0,145416.0,90301.0,66509.0,50190.0,16319.0,516.0,14066.0,35465.0,18.28,17678.0,50343.0,257709.0,34208.0,2694.0,2694.0,,159282.0,49602.0,11974.0,-24978.0,-12108.0
2023,196913.0,119196.0,77717.0,47379.0,30053.0,17326.0,469.0,8173.0,21369.0,11.36,8178.0,41128.0,261632.0,32258.0,1650.0,1650.0,,160957.0,35609.0,15829.0,-30109.0,-15232.0
2024,193414.0,119206.0,74208.0,45382.0,28100.0,17282.0,594.0,9757.0,17661.0,9.72,8262.0,40911.0,256938.0,38558.0,4012.0,4012.0,,152318.0,31492.0,16448.0,-23472.0,-8936.0
2025,184432.0,108214.0,76218.0,41092.0,20960.0,20132.0,1217.0,7258.0,12299.0,6.63,7285.0,38552.0,324012.0,33387.0,2345.0,2345.0,,186450.0,33939.0,17347.0,-19063.0,-15911.0
