fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,90272.0,35138.0,55134.0,,23716.0,,124.0,4672.0,19478.0,27.85,12918.0,105408.0,167497.0,16756.0,3935.0,0.0,3935.0,139036.0,36036.0,10212.0,-8332.0,-31165.0
2017,110855.0,45583.0,65272.0,,26178.0,,109.0,14531.0,12662.0,18.0,10715.0,124308.0,197295.0,24183.0,3943.0,,3943.0,152502.0,37091.0,13184.0,-8298.0,-31401.0
2018,136819.0,59549.0,77270.0,,27524.0,,114.0,4177.0,30736.0,43.7,16701.0,135676.0,232792.0,34620.0,3950.0,,3950.0,177628.0,47971.0,25139.0,-13179.0,-28504.0
2019,161857.0,71896.0,89961.0,,34231.0,,100.0,5282.0,34343.0,49.16,18498.0,152578.0,275909.0,45221.0,3958.0,0.0,3958.0,201442.0,54520.0,23548.0,-23209.0,-29491.0
2020,182527.0,84732.0,97795.0,,41224.0,,135.0,7813.0,40269.0,2.93,26465.0,174296.0,319616.0,56834.0,16318.0,999.0,15319.0,222544.0,65124.0,22281.0,-24408.0,-32773.0
2021,257637.0,110939.0,146698.0,88987.0,78714.0,10273.0,346.0,14701.0,76033.0,5.61,20945.0,188143.0,359268.0,64254.0,15440.0,0.0,15440.0,251635.0,91652.0,24640.0,-61362.0,-35523.0
2022,282836.0,126203.0,156633.0,88317.0,74842.0,13475.0,357.0,11356.0,59972.0,4.56,21879.0,164795.0,365264.0,69300.0,15312.0,0.0,15312.0,256144.0,91495.0,31485.0,-69757.0,-20298.0
2023,307394.0,133332.0,174062.0,96239.0,84293.0,11946.0,308.0,11922.0,73795.0,5.8,24048.0,171530.0,402392.0,81814.0,12870.0,1000.0,11870.0,283379.0,101746.0,32251.0,-72093.0,-27063.0
2024,350018.0,146306.0,203712.0,127701.0,112390.0,15311.0,268.0,19697.0,100118.0,8.04,23466.0,163711.0,450256.0,89122.0,11882.0,999.0,10883.0,325084.0,125299.0,52535.0,-79733.0,-45536.0
2025,402836.0,162535.0,240301.0,150175.0,129039.0,21136.0,736.0,26656.0,132170.0,10.81,30708.0,206038.0,595281.0,102745.0,48543.0,1996.0,46547.0,415265.0,164713.0,91447.0,-37388.0,-120291.0
