fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,94595.0,62282.0,32313.0,15400.0,13427.0,972.0,4534.0,7957.0,6.45,2538.0,17724.0,42966.0,14133.0,0.0,4333.0,9783.0,1621.0,-7870.0,-1583.0
2017,100904.0,66548.0,34356.0,16743.0,14681.0,1057.0,5068.0,8630.0,7.29,3595.0,18933.0,44529.0,16194.0,0.0,1454.0,12031.0,1897.0,-8870.0,-2228.0
2018,108203.0,71043.0,37160.0,17682.0,15530.0,1051.0,3435.0,11121.0,9.73,1778.0,18529.0,44003.0,16716.0,0.0,-1878.0,13165.0,2442.0,-12547.0,-2416.0
2019,110225.0,72653.0,37572.0,18139.0,15843.0,1201.0,3473.0,11242.0,10.25,2133.0,19810.0,51236.0,18375.0,29500.0,-3116.0,13687.0,2678.0,-10798.0,-2653.0
2020,132110.0,87257.0,44853.0,20797.0,18278.0,1347.0,4112.0,12866.0,11.94,7895.0,28477.0,70581.0,23166.0,34750.0,3299.0,18839.0,2463.0,-2983.0,-10170.0
2021,151157.0,100325.0,50832.0,25902.0,23040.0,1347.0,5304.0,16433.0,15.53,2343.0,29055.0,71876.0,28693.0,36400.0,-1696.0,16571.0,2566.0,-19120.0,-2969.0
2022,157403.0,104625.0,52778.0,26835.0,24039.0,1617.0,5372.0,17105.0,16.69,2757.0,32471.0,76445.0,23110.0,41150.0,1562.0,14615.0,3119.0,-10993.0,-3140.0
2023,152669.0,101709.0,50960.0,24750.0,21689.0,1943.0,4781.0,15143.0,15.11,3760.0,29775.0,76530.0,22015.0,42150.0,1044.0,21172.0,3226.0,-15443.0,-4729.0
2024,159514.0,106206.0,53308.0,24862.0,21526.0,2321.0,4600.0,14806.0,14.91,1659.0,31683.0,96119.0,28661.0,51365.0,6640.0,19810.0,3485.0,-694.0,-21031.0
2025,164683.0,109818.0,54865.0,24404.0,20890.0,2412.0,4446.0,14156.0,14.23,1389.0,34391.0,105095.0,32424.0,49397.0,12813.0,16325.0,3679.0,-7714.0,-8980.0
