fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,71890.0,21789.0,50101.0,24283.0,20529.0,3754.0,726.0,3263.0,16540.0,5.93,18972.0,65032.0,141208.0,26287.0,24142.0,1700.0,22442.0,70418.0,18767.0,3226.0,-8551.0,-4761.0
2017,76450.0,25439.0,51011.0,24249.0,18607.0,5642.0,934.0,16373.0,1300.0,0.47,17824.0,43088.0,157303.0,30537.0,32175.0,1500.0,30675.0,60160.0,21056.0,3279.0,-7673.0,-14868.0
2018,81581.0,27091.0,54490.0,25933.0,19004.0,6929.0,1005.0,2702.0,15297.0,5.61,18107.0,46033.0,152954.0,31230.0,30284.0,2600.0,27684.0,59752.0,22201.0,3670.0,-18510.0,-3167.0
2019,82059.0,27556.0,54503.0,24655.0,17646.0,7009.0,318.0,2209.0,15119.0,5.63,17305.0,45274.0,157728.0,35964.0,27694.0,1200.0,26494.0,59471.0,23416.0,3498.0,-18015.0,-6194.0
2020,82584.0,28427.0,54157.0,23929.0,16698.0,7231.0,201.0,1783.0,14714.0,5.51,13985.0,51237.0,174894.0,42493.0,34434.0,1799.0,32635.0,63278.0,23536.0,3347.0,-6120.0,-20825.0
2021,78740.0,23402.0,55338.0,26751.0,19361.0,7390.0,183.0,1377.0,20878.0,7.81,14487.0,60979.0,182018.0,45226.0,32116.0,2131.0,29985.0,74023.0,23410.0,3652.0,-14047.0,-8683.0
2022,79990.0,24596.0,55394.0,26605.0,19635.0,6970.0,276.0,2989.0,17941.0,6.73,12889.0,55294.0,187378.0,55802.0,28437.0,1551.0,26886.0,76804.0,21194.0,4009.0,-8871.0,-12371.0
2023,85159.0,26553.0,58606.0,23320.0,15834.0,7486.0,772.0,1736.0,35153.0,13.72,21859.0,53495.0,167558.0,46282.0,27350.0,1469.0,25881.0,68774.0,22791.0,4543.0,-15825.0,878.0
2024,88821.0,27471.0,61350.0,24781.0,17442.0,7339.0,755.0,2621.0,14066.0,5.79,24105.0,55893.0,180104.0,50321.0,32400.0,1749.0,30651.0,71490.0,24266.0,4424.0,-3132.0,-18599.0
2025,94193.0,30256.0,63937.0,41055.0,33552.0,7503.0,971.0,5777.0,26804.0,11.03,19709.0,55624.0,199210.0,54126.0,41438.0,2000.0,39438.0,81544.0,24530.0,4832.0,-5539.0,-23588.0
