fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,41863.0,16465.0,25398.0,10444.0,8657.0,1787.0,733.0,1586.0,6527.0,1.49,8555.0,34010.0,87270.0,26532.0,33211.0,3527.0,29684.0,23062.0,8792.0,2262.0,-6545.0,-1004.0
2017,36212.0,13721.0,22491.0,9015.0,7755.0,1260.0,853.0,5607.0,1248.0,0.29,6102.0,36545.0,87896.0,27194.0,34480.0,3298.0,31182.0,17072.0,7041.0,1750.0,-7447.0,-2312.0
2018,34300.0,13067.0,21233.0,10238.0,9152.0,1086.0,950.0,1749.0,6434.0,1.5,9077.0,24930.0,83216.0,28782.0,30379.0,5003.0,25376.0,16981.0,7627.0,1548.0,-10347.0,5927.0
2019,37266.0,14619.0,22647.0,11451.0,10086.0,1365.0,946.0,1801.0,8920.0,2.07,6480.0,20411.0,86381.0,26973.0,31769.0,4253.0,27516.0,18981.0,10471.0,2054.0,-9004.0,-3976.0
2020,33014.0,13433.0,19581.0,10533.0,8997.0,1536.0,1437.0,1981.0,7747.0,1.79,6795.0,19240.0,87296.0,14601.0,40610.0,485.0,40125.0,19299.0,9844.0,1177.0,-8070.0,-1477.0
2021,38655.0,15357.0,23298.0,11760.0,10308.0,1452.0,1597.0,2621.0,9771.0,2.25,9684.0,22545.0,94354.0,19950.0,39454.0,1338.0,38116.0,22999.0,12625.0,1367.0,-6786.0,-2765.0
2022,43004.0,18000.0,25004.0,12169.0,10909.0,1260.0,882.0,2115.0,9542.0,2.19,9519.0,22591.0,92763.0,19724.0,36776.0,399.0,36377.0,24105.0,11018.0,1484.0,-10250.0,-763.0
2023,45754.0,18520.0,27234.0,12439.0,11311.0,1128.0,1527.0,2249.0,10714.0,2.47,9366.0,26732.0,97703.0,23571.0,37507.0,1960.0,35547.0,25941.0,11599.0,1852.0,-8310.0,-3349.0
2024,47061.0,18324.0,28737.0,11067.0,9992.0,1075.0,1656.0,2437.0,10631.0,2.46,10828.0,25997.0,100549.0,25249.0,360.0,360.0,,24856.0,6805.0,2064.0,-6910.0,2524.0
2025,47941.0,18397.0,29544.0,14812.0,13762.0,1050.0,1654.0,2861.0,13107.0,3.04,10270.0,31044.0,104816.0,21281.0,56.0,56.0,,32169.0,7408.0,2112.0,-8140.0,-67.0
