fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,27638.0,3789.0,23849.0,14769.0,12427.0,10.0,2301.0,10217.0,3.49,8903.0,34401.0,64961.0,2875.0,0.0,59194.0,16108.0,4491.0,-310.0,-11792.0
2017,40653.0,5454.0,35199.0,23228.0,20203.0,6.0,4660.0,15934.0,5.39,8079.0,48563.0,84524.0,3760.0,0.0,74347.0,24216.0,6733.0,-5235.0,-20118.0
2018,55838.0,9355.0,46483.0,29228.0,24913.0,9.0,3249.0,22112.0,7.57,10019.0,50480.0,97334.0,7017.0,0.0,84127.0,29274.0,13915.0,-15572.0,-11603.0
2019,70697.0,12770.0,57927.0,29727.0,23986.0,20.0,6327.0,18485.0,6.43,19079.0,66225.0,133376.0,15053.0,0.0,101054.0,36314.0,15102.0,-7299.0,-19864.0
2020,85965.0,16692.0,69273.0,39533.0,32671.0,0.0,4034.0,29146.0,10.09,17576.0,75670.0,159316.0,14981.0,0.0,128290.0,38747.0,15163.0,-10292.0,-30059.0
2021,117929.0,22649.0,95280.0,54720.0,46753.0,23.0,7914.0,39370.0,13.77,16601.0,66666.0,165987.0,21135.0,0.0,124879.0,57683.0,18690.0,-50728.0,-7570.0
2022,116609.0,25249.0,91360.0,37630.0,28944.0,185.0,5619.0,23200.0,8.59,14681.0,59549.0,185727.0,27026.0,9923.0,125713.0,50475.0,31186.0,-22136.0,-28970.0
2023,134902.0,25959.0,108943.0,57929.0,46751.0,446.0,8330.0,39098.0,14.87,41862.0,85365.0,229623.0,31960.0,18385.0,153168.0,71113.0,27045.0,-19500.0,-24495.0
2024,164501.0,30161.0,134340.0,84878.0,69380.0,715.0,8303.0,62360.0,23.86,43889.0,100045.0,276054.0,33596.0,28826.0,182637.0,91328.0,37256.0,-40781.0,-47150.0
2025,200966.0,36175.0,164791.0,101892.0,83276.0,1165.0,25474.0,60458.0,23.49,35873.0,108722.0,366021.0,41836.0,58744.0,217243.0,115800.0,69691.0,-20370.0,-102003.0
