fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,39807.0,14030.0,25777.0,10823.0,5352.0,5471.0,693.0,718.0,3920.0,1.41,6515.0,30614.0,95377.0,17204.0,24574.0,300.0,24274.0,40088.0,10376.0,1614.0,-9044.0,-3210.0
2017,40122.0,12912.0,27210.0,11951.0,7275.0,4676.0,754.0,4103.0,2394.0,0.87,6092.0,24766.0,87872.0,18614.0,24353.0,3000.0,21353.0,34336.0,6451.0,1888.0,-10006.0,2679.0
2018,42294.0,13509.0,28785.0,13992.0,9473.0,4519.0,772.0,2508.0,6220.0,2.32,7965.0,25875.0,82637.0,22206.0,25114.0,5308.0,19806.0,26701.0,10922.0,2615.0,-13160.0,4314.0
2019,39121.0,12016.0,27105.0,11716.0,8064.0,3652.0,893.0,1565.0,9843.0,3.81,9676.0,27483.0,84397.0,22220.0,24636.0,1900.0,22736.0,25907.0,13440.0,3369.0,-8861.0,-2629.0
2020,41518.0,13618.0,27900.0,8363.0,6694.0,1669.0,831.0,1340.0,7067.0,2.78,8050.0,27764.0,91588.0,27327.0,27660.0,2300.0,25360.0,25317.0,10253.0,4429.0,-2832.0,-9443.0
2021,48704.0,13626.0,35078.0,16263.0,14685.0,1578.0,806.0,1521.0,13049.0,5.14,8096.0,30266.0,105694.0,23872.0,32990.0,2300.0,30690.0,38184.0,13122.0,4448.0,,
2022,59283.0,17411.0,41872.0,19230.0,17406.0,1824.0,962.0,1918.0,14519.0,5.71,12694.0,35722.0,109160.0,24239.0,30445.0,1700.0,28745.0,45991.0,19095.0,4388.0,-9119.0,-4960.0
2023,60115.0,16126.0,43989.0,4863.0,3035.0,1828.0,1146.0,1512.0,365.0,0.14,6841.0,32168.0,106675.0,25694.0,34983.0,1300.0,33683.0,37581.0,13006.0,3863.0,-4810.0,-14083.0
2024,64168.0,15193.0,48975.0,23311.0,21207.0,2104.0,1271.0,2803.0,17117.0,6.74,13242.0,38782.0,117106.0,28420.0,36962.0,2500.0,34462.0,46313.0,21468.0,3372.0,-7032.0,-7734.0
2025,65011.0,16382.0,48629.0,25469.0,22424.0,3045.0,1357.0,2804.0,18254.0,7.28,14565.0,43516.0,136866.0,28327.0,49050.0,2300.0,46750.0,52606.0,16472.0,4112.0,-1922.0,-13741.0
