fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2017,96571.0,34261.0,62310.0,35125.0,29025.0,6100.0,2222.0,4412.0,25489.0,3.25,7663.0,162696.0,250312.0,55745.0,77122.0,1049.0,76073.0,87711.0,39507.0,8129.0,8408.0,-46781.0
2018,110360.0,38353.0,72007.0,42758.0,35058.0,7700.0,2733.0,19903.0,16571.0,2.13,11946.0,169662.0,258848.0,58488.0,76240.0,3998.0,72242.0,82718.0,43884.0,11632.0,-33590.0,-6061.0
2019,125843.0,42910.0,82933.0,52659.0,42959.0,9700.0,2686.0,4448.0,39240.0,5.06,11356.0,175552.0,286556.0,69420.0,72178.0,5516.0,66662.0,102330.0,52185.0,13925.0,-36887.0,-15773.0
2020,143015.0,46078.0,96937.0,63659.0,52959.0,10700.0,2591.0,8755.0,44281.0,5.76,13576.0,181915.0,301311.0,72310.0,63327.0,3749.0,59578.0,118304.0,60675.0,15441.0,-46031.0,-12223.0
2021,168088.0,52232.0,115856.0,79216.0,69916.0,9300.0,2346.0,9831.0,61271.0,8.05,14224.0,184406.0,333779.0,88657.0,58146.0,8072.0,50074.0,141988.0,76740.0,20622.0,-48486.0,-27577.0
2022,198270.0,62650.0,135620.0,95983.0,83383.0,12600.0,2063.0,10978.0,72738.0,9.65,13931.0,169684.0,364840.0,95082.0,49781.0,2749.0,47032.0,166542.0,89035.0,23886.0,-58876.0,-30311.0
2023,211915.0,65863.0,146052.0,99523.0,88523.0,11000.0,1968.0,16950.0,72361.0,9.68,34704.0,184257.0,411976.0,104149.0,47237.0,5247.0,41990.0,206223.0,87582.0,28107.0,-43935.0,-22680.0
2024,245122.0,74114.0,171008.0,124633.0,109433.0,15200.0,2935.0,19651.0,88136.0,11.8,18315.0,159734.0,512163.0,125286.0,44937.0,2249.0,42688.0,268477.0,118548.0,44477.0,-37757.0,-96970.0
2025,281724.0,87831.0,193893.0,150528.0,128528.0,22000.0,2385.0,21795.0,101832.0,13.64,30242.0,191131.0,619003.0,141218.0,43151.0,2999.0,40152.0,343479.0,136162.0,64551.0,-51699.0,-72599.0
2026,331839.0,106374.0,225465.0,189537.0,155237.0,34300.0,3051.0,32185.0,133749.0,17.95,20935.0,207710.0,758376.0,168825.0,40294.0,9227.0,31067.0,442387.0,182935.0,115948.0,-52546.0,-139500.0
