fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,6910.0,2847.0,4063.0,2121.0,1934.0,58.0,239.0,1666.0,2.57,1766.0,8536.0,9841.0,1788.0,1983.0,5762.0,1672.0,0.0,291.0,-793.0
2017,9714.0,3892.0,5822.0,3409.0,3210.0,61.0,149.0,3047.0,4.82,4002.0,9255.0,11241.0,1153.0,1985.0,7471.0,3502.0,0.0,-2544.0,1278.0
2018,11716.0,4545.0,7171.0,4066.0,3804.0,58.0,-245.0,4141.0,6.63,782.0,10557.0,13292.0,1329.0,1988.0,9342.0,3743.0,0.0,-2866.0,-4097.0
2019,10918.0,4150.0,6768.0,3227.0,2846.0,52.0,174.0,2796.0,1.13,10896.0,13690.0,17315.0,1784.0,1991.0,12204.0,4761.0,0.0,-792.0,6145.0
2020,16675.0,6279.0,10396.0,5630.0,4532.0,184.0,77.0,4332.0,1.73,847.0,16055.0,28791.0,3925.0,6963.0,16893.0,5822.0,0.0,3804.0,-19675.0
2021,26914.0,9439.0,17475.0,11215.0,10041.0,236.0,189.0,9752.0,3.85,1990.0,28829.0,44187.0,4335.0,10946.0,26612.0,9108.0,976.0,1865.0,-9830.0
2022,26974.0,11618.0,15356.0,5768.0,4224.0,262.0,-187.0,4368.0,0.17,3389.0,23073.0,41182.0,6563.0,10953.0,22101.0,5641.0,1833.0,-11617.0,7375.0
2023,60922.0,16621.0,44301.0,34480.0,32972.0,257.0,4058.0,29760.0,1.19,7280.0,44345.0,65728.0,10631.0,9709.0,42978.0,28090.0,1069.0,-13633.0,-10566.0
2024,130497.0,32639.0,97858.0,83317.0,81453.0,247.0,11146.0,72880.0,2.94,8589.0,80126.0,111601.0,18047.0,8463.0,79327.0,64089.0,3236.0,-42359.0,-20421.0
2025,215938.0,62475.0,153463.0,133230.0,130387.0,259.0,21383.0,120067.0,4.9,10605.0,125605.0,206803.0,32163.0,8468.0,157293.0,102718.0,6042.0,-48474.0,-52228.0
