fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,37792.0,2801.0,23017.0,13913.0,12913.0,1798.0,2228.0,9452.0,2.24,21784.0,74515.0,134991.0,24178.0,57909.0,53860.0,14126.0,2021.0,9086.0,-21494.0
2017,39383.0,2888.0,24287.0,14429.0,13264.0,2025.0,8837.0,3587.0,0.85,21620.0,76159.0,137851.0,19124.0,60619.0,46372.0,15386.0,1736.0,-9982.0,-5625.0
2018,39506.0,,,14765.0,13535.0,2082.0,1185.0,11083.0,2.97,20514.0,46386.0,108709.0,18630.0,56167.0,21785.0,14551.0,1660.0,-42056.0,26557.0
2019,39068.0,,,15278.0,13896.0,1995.0,1928.0,10135.0,3.08,37239.0,52140.0,115438.0,17200.0,71597.0,12074.0,13139.0,1564.0,-6132.0,9843.0
2020,40479.0,,,16750.0,15213.0,2496.0,-747.0,13746.0,4.55,30098.0,55567.0,131107.0,24164.0,84245.0,5238.0,15887.0,2135.0,-10378.0,-13098.0
2021,42440.0,,,12898.0,10926.0,2755.0,932.0,6717.0,2.41,21383.0,31633.0,109297.0,19511.0,3749.0,-6220.0,9539.0,4511.0,-29126.0,11220.0
2022,49954.0,,,15619.0,13093.0,3505.0,623.0,8503.0,3.07,9765.0,21004.0,134384.0,23090.0,90481.0,1073.0,17165.0,8695.0,7910.0,-36484.0
2023,52961.0,,,18482.0,15353.0,3514.0,1274.0,10467.0,3.71,10454.0,22554.0,140976.0,31544.0,86869.0,8704.0,18673.0,6866.0,-10554.0,-7360.0
2024,57399.0,,,21545.0,17678.0,3578.0,1717.0,12443.0,4.34,10786.0,24579.0,168361.0,32643.0,92568.0,20451.0,20821.0,21215.0,1098.0,-21711.0
2025,67357.0,,,28229.0,20606.0,4599.0,2467.0,17087.0,5.83,31289.0,46567.0,261759.0,41764.0,129541.0,42508.0,31977.0,55663.0,40284.0,-51854.0
