fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,62799.0,28222.0,34577.0,12172.0,9804.0,1342.0,2174.0,6329.0,4.36,9158.0,26450.0,73490.0,21135.0,36945.0,11246.0,10663.0,3040.0,-3211.0,-7150.0
2017,63525.0,28796.0,34729.0,12645.0,10276.0,1151.0,4694.0,4857.0,3.38,10610.0,31027.0,79804.0,20502.0,39281.0,11045.0,10030.0,2969.0,-4186.0,-4403.0
2018,64661.0,29381.0,35280.0,12509.0,10110.0,1219.0,-3370.0,12515.0,8.78,8721.0,21893.0,77648.0,22138.0,32321.0,14518.0,9415.0,3282.0,-13769.0,4564.0
2019,67161.0,30132.0,37029.0,12723.0,10291.0,935.0,1959.0,7314.0,5.2,5509.0,17645.0,78547.0,20461.0,32068.0,14786.0,9649.0,4232.0,-8489.0,-6437.0
2020,70372.0,31797.0,38575.0,12628.0,10080.0,1128.0,1894.0,7120.0,5.12,8185.0,23001.0,92918.0,23372.0,44150.0,13454.0,10613.0,4240.0,3819.0,-11619.0
2021,79474.0,37075.0,42399.0,13872.0,11162.0,1863.0,2142.0,7618.0,5.49,5596.0,21783.0,92377.0,26220.0,40334.0,16043.0,11616.0,4625.0,-10780.0,-3269.0
2022,86392.0,40576.0,45816.0,14275.0,11512.0,939.0,1727.0,8910.0,6.42,4954.0,21539.0,92187.0,26785.0,39071.0,17149.0,10811.0,5207.0,-8523.0,-2430.0
2023,91471.0,41881.0,49590.0,14934.0,11986.0,819.0,2262.0,9074.0,6.56,9711.0,26950.0,100495.0,31647.0,44105.0,18503.0,13442.0,5518.0,-3009.0,-5495.0
2024,91854.0,41744.0,50110.0,16047.0,12887.0,919.0,2320.0,9578.0,6.95,8505.0,25826.0,99467.0,31536.0,44306.0,18041.0,12507.0,5318.0,-7556.0,-5472.0
2025,93925.0,43066.0,50859.0,14949.0,11498.0,1121.0,1949.0,8240.0,6.0,9159.0,27949.0,107399.0,32764.0,49182.0,20406.0,12087.0,4415.0,-4979.0,-6879.0
