fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,52824.0,12322.0,40502.0,15294.0,9537.0,1186.0,1123.0,7215.0,1.17,2595.0,38949.0,171615.0,31115.0,35623.0,59544.0,16192.0,1823.0,-9228.0,-7791.0
2017,52546.0,11228.0,41318.0,19844.0,13575.0,1270.0,-9049.0,21308.0,3.52,1342.0,41141.0,171797.0,30427.0,37084.0,71308.0,16802.0,1956.0,-13350.0,-4740.0
2018,40825.0,8987.0,31838.0,11294.0,4910.0,1316.0,-266.0,11153.0,1.87,1139.0,49926.0,159422.0,31858.0,37685.0,63407.0,15827.0,1984.0,-20441.0,4525.0
2019,40905.0,8054.0,32851.0,18649.0,12894.0,1573.0,583.0,16026.0,2.82,1121.0,32803.0,167594.0,37304.0,37417.0,63143.0,12588.0,2046.0,-8485.0,-3945.0
2020,41651.0,8484.0,33167.0,13166.0,8485.0,1449.0,370.0,9159.0,1.63,1786.0,35067.0,154229.0,25920.0,39135.0,63238.0,14403.0,2226.0,-9649.0,-4271.0
2021,73636.0,30821.0,42815.0,30793.0,25602.0,1291.0,1852.0,21979.0,3.85,1944.0,59693.0,181476.0,42671.0,37831.0,77201.0,32580.0,2711.0,-9816.0,-22546.0
2022,91793.0,34344.0,57449.0,41031.0,35967.0,1238.0,3328.0,31372.0,5.47,416.0,51259.0,197205.0,42138.0,35444.0,95661.0,29267.0,3236.0,-14834.0,-15783.0
2023,50914.0,24954.0,25960.0,9557.0,3267.0,2209.0,-1115.0,2119.0,0.37,2853.0,43333.0,226501.0,47794.0,63792.0,89014.0,8700.0,3907.0,26066.0,-32278.0
2024,63627.0,17851.0,45776.0,18127.0,11114.0,3091.0,-28.0,8031.0,1.41,1043.0,50358.0,213396.0,42995.0,61152.0,88203.0,12744.0,2909.0,-17140.0,2652.0
2025,62579.0,16067.0,46512.0,16783.0,10191.0,2671.0,-266.0,7771.0,1.36,1142.0,42898.0,208160.0,36984.0,64638.0,86476.0,11704.0,2629.0,-10304.0,-1351.0
