fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2017,65058.0,32638.0,32420.0,16586.0,13766.0,2820.0,465.0,3063.0,15326.0,5.59,5569.0,26494.0,120406.0,30210.0,19714.0,1676.0,18038.0,55778.0,12753.0,3384.0,-8568.0,-6685.0
2018,66832.0,34432.0,32400.0,16197.0,13363.0,2834.0,506.0,3465.0,9750.0,3.67,2569.0,23320.0,118310.0,28237.0,22635.0,1772.0,20863.0,52883.0,14867.0,3717.0,-14375.0,-3511.0
2019,67684.0,34768.0,32916.0,8311.0,5487.0,2824.0,509.0,2103.0,3897.0,1.43,4239.0,22473.0,115095.0,30011.0,23783.0,3388.0,20395.0,47579.0,15242.0,3347.0,-9994.0,-3490.0
2020,70950.0,35250.0,35700.0,18719.0,15706.0,3013.0,465.0,2731.0,13027.0,4.96,16181.0,27987.0,120700.0,32976.0,26045.0,2508.0,23537.0,46878.0,17403.0,3073.0,-8367.0,3045.0
2021,76118.0,37108.0,39010.0,20721.0,17986.0,2735.0,502.0,3263.0,14306.0,5.5,10288.0,23091.0,119307.0,33132.0,26719.0,3620.0,23099.0,46654.0,18371.0,2787.0,-21531.0,-2834.0
2022,80187.0,42157.0,38030.0,20620.0,17813.0,2807.0,439.0,3202.0,14742.0,5.81,7214.0,21653.0,117208.0,33081.0,26495.0,3647.0,22848.0,46854.0,16723.0,3156.0,-14876.0,-4424.0
2023,82006.0,42760.0,39246.0,20848.0,18134.0,2714.0,756.0,3615.0,14653.0,5.9,8246.0,22648.0,120829.0,35756.0,28329.0,3951.0,24378.0,47065.0,16848.0,3062.0,-12146.0,-3500.0
2024,84039.0,40848.0,43191.0,21441.0,18545.0,2896.0,925.0,3787.0,14879.0,6.02,9482.0,24709.0,122370.0,33627.0,29107.0,3838.0,25269.0,50559.0,19846.0,3322.0,-14855.0,-3504.0
2025,84284.0,41164.0,43120.0,23298.0,20451.0,2847.0,907.0,4102.0,15974.0,6.51,9556.0,25392.0,125231.0,36058.0,30372.0,5377.0,24995.0,52284.0,17817.0,3773.0,-14036.0,-3818.0
2026,87032.0,43362.0,43670.0,22908.0,19748.0,3160.0,877.0,4233.0,16046.0,6.62,9942.0,26208.0,126521.0,38694.0,29299.0,6457.0,22842.0,54311.0,19556.0,4409.0,-14460.0,-4624.0
