fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,7000.132,5400.875,1599.257,-190.04,-667.34,198.81,26.698,-674.914,-4.68,3393.0,6259.796,22664.076,5827.005,7006.668,4752.911,-123.829,1280.802,3743.976,-1081.085
2017,11759.0,9536.0,2223.0,-862.7,-1632.0,471.0,32.0,-1962.0,-11.83,3368.0,6570.52,28655.372,7674.67,9628.834,4237.242,-61.0,3415.0,4415.0,-4196.0
2018,21461.268,17419.0,4042.0,722.0,-388.0,663.0,58.0,-976.0,-1.14,3686.0,8307.0,29740.0,9993.0,10633.0,4923.0,2098.0,2101.0,574.0,-2337.0
2019,24578.0,20509.0,4069.0,1301.0,-69.0,685.0,110.0,-862.0,-0.98,6268.0,12103.0,34309.0,10667.0,11801.0,6618.0,2405.0,1327.0,1529.0,-1436.0
2020,31536.0,24906.0,6630.0,3564.0,1994.0,748.0,292.0,721.0,0.21,19384.0,26717.0,52148.0,14248.0,10220.0,22225.0,5943.0,3157.0,9973.0,-3132.0
2021,53823.0,40217.0,13606.0,8433.0,6523.0,371.0,699.0,5519.0,1.63,17576.0,27100.0,62131.0,19705.0,5342.0,30189.0,11497.0,6482.0,-5203.0,-7868.0
2022,81462.0,60609.0,20853.0,16076.0,13656.0,191.0,1132.0,12556.0,3.62,16253.0,40917.0,82338.0,26709.0,2045.0,44704.0,14724.0,7158.0,-3527.0,-11973.0
2023,96773.0,79113.0,17660.0,12221.0,8891.0,156.0,-5001.0,14997.0,4.3,16398.0,49616.0,106618.0,28748.0,4657.0,62634.0,13256.0,8899.0,2589.0,-15584.0
2024,97690.0,80240.0,17450.0,11196.0,7076.0,350.0,1837.0,7091.0,2.04,16139.0,58360.0,122070.0,28821.0,7878.0,72913.0,14923.0,11342.0,3853.0,-18787.0
2025,94827.0,77733.0,17094.0,9385.0,4355.0,338.0,1423.0,3794.0,1.08,16513.0,68642.0,137806.0,31714.0,8153.0,82137.0,14747.0,8527.0,1139.0,-15478.0
