fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,481317.0,361256.0,120061.0,32844.0,22764.0,10080.0,2044.0,6204.0,13643.0,4.38,6867.0,57689.0,198825.0,66928.0,38271.0,2256.0,36015.0,77798.0,31673.0,10619.0,-19072.0,-13896.0
2017,495761.0,373396.0,122365.0,30966.0,20437.0,10529.0,1978.0,4600.0,9862.0,3.28,6756.0,59664.0,204522.0,78521.0,33783.0,3738.0,30045.0,77869.0,28337.0,10051.0,-19875.0,-9079.0
2018,510329.0,385301.0,125028.0,32635.0,21957.0,10678.0,1975.0,4281.0,6670.0,2.26,7722.0,61897.0,219295.0,77477.0,45396.0,1876.0,43520.0,72496.0,27753.0,10344.0,-2537.0,-24036.0
2019,519926.0,394605.0,125321.0,31555.0,20568.0,10987.0,2262.0,4915.0,14881.0,5.19,9465.0,61806.0,236495.0,77790.0,49076.0,5362.0,43714.0,74669.0,25255.0,10705.0,-14299.0,-9128.0
2020,555233.0,420315.0,134918.0,33700.0,22548.0,11152.0,1976.0,6858.0,13510.0,4.75,17741.0,90067.0,252496.0,92645.0,44309.0,3115.0,41194.0,80925.0,36074.0,10264.0,-16117.0,-10071.0
2021,567762.0,429000.0,138762.0,36600.0,25942.0,10658.0,1674.0,4756.0,13673.0,1.62,14760.0,81070.0,244860.0,87379.0,37667.0,2803.0,34864.0,83253.0,24181.0,13106.0,-22828.0,-6015.0
2022,605881.0,463721.0,142160.0,31373.0,20428.0,10945.0,1787.0,5724.0,11680.0,1.42,8625.0,75655.0,243197.0,92198.0,38840.0,4191.0,34649.0,76693.0,28841.0,16857.0,-17039.0,-17722.0
2023,642637.0,490142.0,152495.0,38865.0,27012.0,11853.0,2259.0,5578.0,15511.0,1.91,9867.0,76877.0,252399.0,92415.0,39579.0,3447.0,36132.0,83861.0,35726.0,20606.0,-13414.0,-21287.0
2024,674538.0,511753.0,162785.0,42321.0,29348.0,12973.0,2249.0,6152.0,19436.0,2.41,9037.0,79458.0,260823.0,96584.0,35999.0,2598.0,33401.0,91013.0,36443.0,23783.0,-14822.0,-21379.0
2025,706413.0,535395.0,171018.0,44028.0,29825.0,14203.0,2318.0,7199.0,21893.0,2.73,10727.0,84874.0,284668.0,107469.0,38166.0,3542.0,34624.0,99617.0,41565.0,26642.0,-13553.0,-26350.0
