fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2016,200628.0,,,30730.0,8422.0,453.0,-406.0,7840.0,1.88,3657.0,41416.0,330314.0,47638.0,30660.0,167325.0,22082.0,16163.0,-9293.0,-12403.0
2017,237162.0,,,39168.0,19275.0,601.0,-1174.0,19710.0,4.63,3177.0,47134.0,348691.0,57771.0,27866.0,187688.0,30066.0,15402.0,-15130.0,-15730.0
2018,279332.0,,,50464.0,31719.0,766.0,9532.0,20840.0,4.88,3042.0,47973.0,346196.0,57138.0,4070.0,191794.0,36014.0,19574.0,-19446.0,-16446.0
2019,255583.0,,,39884.0,20886.0,830.0,5282.0,14340.0,3.36,3089.0,50052.0,362597.0,63989.0,1617.0,191650.0,29716.0,24361.0,-6618.0,-23084.0
2020,178574.0,,,18284.0,-27725.0,1158.0,-5632.0,-22440.0,-5.25,4364.0,44893.0,332750.0,56363.0,2930.0,157150.0,14668.0,17282.0,5285.0,-18459.0
2021,276692.0,,,52788.0,32181.0,947.0,7636.0,23040.0,5.39,6802.0,59154.0,338923.0,56643.0,2392.0,168577.0,48129.0,12076.0,-35423.0,-10235.0
2022,413680.0,,,102591.0,78551.0,798.0,20176.0,55740.0,13.26,29640.0,97631.0,369067.0,69045.0,181.0,195049.0,76797.0,18407.0,-39114.0,-14742.0
2023,344582.0,,,74273.0,53632.0,849.0,15429.0,36010.0,8.89,31539.0,96609.0,376317.0,65316.0,4009.0,204802.0,55369.0,21919.0,-34297.0,-19274.0
2024,349585.0,,,73311.0,49869.0,996.0,13810.0,33680.0,7.84,23029.0,91990.0,453475.0,70307.0,4892.0,263705.0,55022.0,24306.0,-42789.0,-19938.0
2025,332238.0,,,67864.0,41871.0,603.0,11504.0,28844.0,6.7,10681.0,83382.0,448980.0,72330.0,6200.0,259386.0,51970.0,28358.0,-39081.0,-25927.0
