fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow
2015,233715,140089,93626,71230,68015,733,19121,53394,9.28,21120,89378,290479,80610,53329,119355,81266,11247,-17716,-56274
2016,215639,131376,84263,64090,60024,1456,15685,45687,8.35,20484,106869,321686,79006,75427,128249,65824,12734,-20483,-45977
2017,229234,141048,88186,71501,66412,2323,15738,48351,9.21,20289,128645,375319,100814,115680,134047,63598,12451,-17347,-46446
2018,265595,163756,101839,81801,76143,3240,13372,59531,11.91,25913,131339,365725,116866,114483,107147,77434,13313,-87876,16066
2019,260174,161782,98392,76477,69313,3576,10481,55256,11.89,48844,162819,338516,105718,108047,90488,69391,10495,-90976,45896
2020,274515,169559,104956,81020,66288,2873,9680,57411,12.87,38016,143713,323888,105392,112436,65339,80674,7309,-86820,-4289
2021,365817,212981,152836,120233,108949,2645,14527,94680,21.36,34940,134836,351002,125481,124719,63090,104038,11085,-93353,-14545
2022,394328,223546,170782,130541,119437,2931,19300,99803,24.29,23646,135405,352755,153982,132480,50672,122151,10708,-110749,-22354
2023,383285,214137,169148,125820,114301,3933,16741,96995,25.98,29965,143566,352583,145308,123930,62146,110543,10959,-108488,3705
2024,391035,210352,180683,134210,123216,3933,29749,93736,26.31,29943,152987,364980,176392,106629,56950,118254,9447,-121983,2935
